"id";"datatime";"latitude";"longitude";"co2"
"541";"2023-09-18 19:41:23";"45,8103";"15,9296";"12332"
"542";"2023-09-18 19:41:42";"45,8103";"15,9296";"21069"
"543";"2023-09-18 19:42:01";"45,8103";"15,9299";"21069"
"544";"2023-09-18 19:42:19";"45,8103";"15,9302";"13361"
"545";"2023-09-18 19:42:38";"45,8103";"15,9305";"21069"
"546";"2023-09-18 19:42:56";"45,8102";"15,9309";"18256"
"547";"2023-09-18 19:43:14";"45,8102";"15,9309";"21069"
"548";"2023-09-18 19:48:19";"45,81";"15,9314";"21592"
"549";"2023-09-18 19:48:38";"45,8099";"15,9316";"20566"
"550";"2023-09-18 19:48:56";"45,8099";"15,9316";"11313"
"551";"2023-09-18 19:49:29";"45,8099";"15,9315";"33378"
"552";"2023-09-18 19:49:47";"45,8099";"15,9315";"21069"
"553";"2023-09-18 19:50:05";"45,8099";"15,9315";"13837"
"554";"2023-09-18 19:50:50";"45,8099";"15,9315";"21592"
"555";"2023-09-18 19:51:08";"45,8099";"15,9315";"21069"
"556";"2023-09-18 19:51:27";"45,8099";"15,9315";"21069"
"557";"2023-09-18 19:51:46";"45,8099";"15,9317";"13866"
"558";"2023-09-18 19:52:04";"45,8098";"15,932";"11829"
"559";"2023-09-18 19:52:22";"45,8097";"15,9323";"21069"
"560";"2023-09-18 19:52:41";"45,8096";"15,9325";"14636"
"561";"2023-09-18 19:52:59";"45,8096";"15,9325";"21069"
"562";"2023-09-18 19:53:18";"45,8096";"15,9326";"14134"
"563";"2023-09-18 19:53:37";"45,8095";"15,9326";"21069"
"564";"2023-09-18 19:53:55";"45,8095";"15,9327";"12343"
"565";"2023-09-18 19:54:14";"45,8095";"15,933";"11342"
"566";"2023-09-18 19:54:33";"45,8093";"15,9333";"11315"
"567";"2023-09-18 19:54:51";"45,8092";"15,9336";"21069"
"568";"2023-09-18 19:55:10";"45,809";"15,9338";"21069"
"569";"2023-09-18 19:55:29";"45,8088";"15,934";"11341"
"570";"2023-09-18 19:55:47";"45,8086";"15,934";"13365"
"571";"2023-09-18 19:56:06";"45,8084";"15,934";"21069"
"572";"2023-09-18 19:56:24";"45,8082";"15,9345";"11313"
"573";"2023-09-18 19:56:43";"45,8079";"15,9352";"21069"
"574";"2023-09-18 19:57:01";"45,8073";"15,9353";"11313"
"575";"2023-09-18 19:57:20";"45,8067";"15,9353";"21069"
"576";"2023-09-18 19:57:38";"45,8062";"15,9353";"11315"
"577";"2023-09-18 19:57:56";"45,8056";"15,9353";"21069"
"578";"2023-09-18 19:58:15";"45,8052";"15,9353";"21548"
"579";"2023-09-18 19:58:33";"45,8047";"15,9353";"13874"
"580";"2023-09-18 19:58:52";"45,8041";"15,9354";"21069"
"581";"2023-09-18 19:59:11";"45,8036";"15,9353";"21069"
"582";"2023-09-18 19:59:30";"45,8032";"15,9354";"11316"
"583";"2023-09-18 19:59:49";"45,8027";"15,9355";"11308"
"584";"2023-09-18 20:00:07";"45,8022";"15,9356";"21069"
"585";"2023-09-18 20:00:26";"45,8017";"15,9357";"21069"
"586";"2023-09-18 20:00:44";"45,8013";"15,9357";"21069"
"587";"2023-09-18 20:01:03";"45,8008";"15,9357";"12336"
"588";"2023-09-18 20:01:21";"45,8008";"15,9357";"21334"
"589";"2023-09-18 20:01:39";"45,8008";"15,9357";"21069"
"590";"2023-09-18 20:01:58";"45,8008";"15,9357";"20551"
"591";"2023-09-18 20:02:17";"45,8008";"15,9349";"21069"
"592";"2023-09-18 20:02:36";"45,8008";"15,934";"11314"
"593";"2023-09-18 20:02:54";"45,8007";"15,9333";"21069"
"594";"2023-09-18 20:03:13";"45,8007";"15,9325";"21069"
"595";"2023-09-18 20:03:32";"45,8007";"15,9318";"13638"
"596";"2023-09-18 20:03:50";"45,8007";"15,931";"11333"
"597";"2023-09-18 20:04:09";"45,8007";"15,9303";"21069"
"598";"2023-09-18 20:04:27";"45,8007";"15,9296";"12593"
"599";"2023-09-18 20:04:46";"45,8007";"15,929";"13621"
"600";"2023-09-18 20:05:04";"45,8004";"15,9285";"21069"
